hashtags: Descending;Polarite;Count
#2017LeDebat;neutre;19,516
#Debat2017;neutre;6,065
#2017LeDébat;neutre;5,35
#LePen;neutre;2,382
#Macron;neutre;1,505
#LeGrandDebat;neutre;1,409
#LEDEBAT2017;neutre;1,406
#JeVoteMacron;positif;1,267
#GrandDebat;neutre;1,126
#MarineLePen;neutre;799
#MLP;neutre;750
#EnMarche;neutre;610
#FN;neutre;570
#Presidentielle2017;neutre;568
#France;neutre;555
#Debat2ndTour;neutre;463
#EmmanuelMacron;neutre;443
#debatpresidentiel;neutre;412
#LeDebat;neutre;410
#Débat2017;neutre;408
#RendezNousMelenchon;negatif;330
#Marine2017;positif;321
#Presidentielles2017;neutre;310
#MacronPresident;positif;310
#LePenMacron;neutre;292
#BFMTV;neutre;259
#TF1;neutre;213
#SansMoiLe7Mai;negatif;204
#LePenNon;negatif;203
#Debatpresidentielle;neutre;200
#Marine;neutre;186
#debatpresidentielle2017;neutre;141
#macronlepen;neutre;141
#LeDébat2017;neutre;127
#JeVoteElleDegage;negatif;114
#MLP2017;positif;112
#macron2017;positif;111
#TitanicLePen;negatif;99
#ASMJUV;neutre;88
#FranceInsoumise;neutre;87
#NonauFN;negatif;86
#RendezNousMélenchon;negatif;81
#ToutSaufMacron;negatif;81
#JeVote;neutre;78
#2017debat;neutre;76
#GrandDébat;neutre;74
#Handicap;neutre;70
#Melenchon;neutre;70
#JamaisMacron;negatif;69
#sondage;neutre;69
#insoumis;positif;66
#ElectionPresidentielle2017;neutre;59
#france2;neutre;56
#Présidentielle2017;neutre;56
#UOIF;neutre;54
#DebatTF1;neutre;53
#LeGrandDébat;neutre;50
#WhatsApp;neutre;50
#votezmacron;positif;48
#EM;neutre;48
#Hollande;neutre;47
#2017DébatPrésidentiel;neutre;45
#débat;neutre;44
#AjaxOL;neutre;43
#Elections2017;neutre;42
#MacronPrésident;positif;41
#debat;neutre;41
#ElectionsPresidentielles2017;neutre;40
#LeGrandDebat2017;neutre;39
#AvenirEnCommun;positif;39
#7maicontreLePen;negatif;36
#FHaine;negatif;35
#elysee2017;positif;35
#FI;neutre;35
#Fillon;neutre;34
#Trump;neutre;34
#TF1Presidentielle2017;neutre;34
#2017DebatPresidentiel;neutre;34
#LCI;neutre;33
#DébatPrésidentiel;neutre;32
#Elabe;neutre;32
#JLM2017;neutre;31
#LR;neutre;31
#Punchline;neutre;31
#whatsappdown;neutre;31
#2017LeGrandDebat;neutre;30
#NathalieSaintCricq;neutre;30
#cnews;neutre;30
#ensemble;neutre;30
#parasite;negatif;29
#2017Débat;neutre;28
#LePoidsDesMots;neutre;28
#PasUneVoixPourLeFN;negatif;28
#écologie;neutre;27
#DupontAignan;neutre;27
#Europe;neutre;26
#Présidentielles2017;neutre;26
#honte;neutre;26
#legislatives2017;neutre;25
#Abstention;negatif;25
#BreakingNews;neutre;25
#ChoisirLaFrance;positif;25
#Europe2017;neutre;24
#PasLePenDEssayer;negatif;24
#Rediff;neutre;23
#ecologie;neutre;23
#marinepresidente;positif;23
#72;neutre;22
#DangerMacron;negatif;22
#FNJamais;negatif;22
#MacronGate;negatif;22
#factchecking;neutre;22
#tristesse;negatif;22
#2007LeDébat;neutre;22
#2017;neutre;21
#Avote;neutre;21
#Chirac;neutre;21
#Fakenews;neutre;20
#Mélenchon;neutre;20
#Presidentielle;neutre;20
#Russie;neutre;20
#ViveLePen;positif;20
#autisme;neutre;19
#AuNomDuPeuple;neutre;19
#ElyseeLive;neutre;19
#RIP;negatif;19
#le7maijevoteMACRON;positif;19
#législatives;neutre;18
#news;neutre;18
#Le;neutre;18
#MLPNDA;neutre;18
#MarinePrésidente;positif;18
#SortonsLePen;negatif;18
#barrage;neutre;18
#secondtour;neutre;17
#DebatMacronLePen;neutre;17
#JamaisLeFN;negatif;17
#Kaamelott;neutre;17
#LeDébat;neutre;17
#Présidentielle;neutre;17
#auxurnes;neutre;17
#badtrip;neutre;17
#franceinfo;neutre;17
#stopfn7mai;negatif;16
#1erMai;neutre;16
#BFM;neutre;16
#OL;neutre;16
#Philippot;neutre;15
#Poutine;neutre;15
#SFR;neutre;15
#TchetchenieURGENCE;neutre;15
#WTF;negatif;15
#debatLePenMacron;neutre;15
#environnement;neutre;15
#jamaislepen;negatif;15
#lafrancebleumoisi;negatif;14
#merci;positif;14
#pigeon;negatif;14
#sorcellerie;negatif;14
#élections2017;neutre;14
#CarteBlanche;neutre;14
#SansNousLe7Mai;negatif;14
#lePenJamais;negatif;14
#ruthelkrief;neutre;14
#vote;neutre;14
#éducation;neutre;14
#2;neutre;14
#6eRépublique;negatif;13
#7mai;neutre;13
#AbstentionRecord;negatif;13
#DébatPrésidentielle;neutre;13
#EmmanuelHollande;neutre;13
#IA;neutre;13
#JeVoteLe7Mai;neutre;13
#MacronAPeurDeMarine;negatif;13
#MmeLePen;neutre;13
#NonALePen;negatif;12
#Paris;neutre;12
#RendsLargent;negatif;12
#Rennes;neutre;12
#VoterMacron;positif;12
#VotonsMacron;positif;12
#culture;neutre;12
#deuxiemebulletin;neutre;12
#francais;neutre;11
#france3;neutre;11
#lepen2017;positif;11
#libertedelapresse;neutre;11
#perlimpinpin;negatif;11
#poudredeperlinpinpin;negatif;11
#presidentielles;neutre;11
#souveraineté;negatif;11
#voteblanc;negatif;11
#ASMJuve;neutre;11
#Actualité;neutre;11
#AvecMoiLe7Mai;neutre;11
#Elysée2017;neutre;11
#EnsembleLaFrance;positif;10
#Frenchelections2017;neutre;10
#GrandDebat2017;neutre;10
#Guaino;neutre;10
#ImpostureMacron;negatif;10
#LT;neutre;10
#MLPTF1;neutre;10
#OVPL;neutre;10
#Politique;neutre;10
#RS;neutre;10
#RTL;neutre;10
#barrageauFN;negatif;10
#français;neutre;10
#frontnational;neutre;10
#headshot;negatif;10
#indépendance;neutre;10
#justice;neutre;10
#micdrop;positif;10
#pitoyable;negatif;10
#tocard;negatif;10
#7Mai2017;neutre;10
#Allemagne;neutre;9
#AvecMacron;positif;9
#BFMacron;positif;9
#Bahamas;neutre;9
#Debatpresidentielles;neutre;9
#En;neutre;9
#Fillon2017;negatif;9
#Hamon;neutre;9
#JLM;neutre;9
#JusticeADoubleVitesse;neutre;9
#LaFranceInsoumise;neutre;9
#Lassalle;neutre;9
#Législatives2017;neutre;9
#NTM;negatif;9
#NYUS;neutre;9
#PauvreMarine;negatif;8
#President;neutre;8
#RDC;neutre;8
#RT;neutre;8
#République;neutre;8
#TPMP;neutre;8
#TitatinicLePen;negatif;8
#VotezJojo;negatif;8
#antiFN;negatif;8
#costaconcordia;negatif;8
#honteux;negatif;8
#je;neutre;8
#juifs;negatif;8
#lwili;neutre;8
#nimacronnilepen;negatif;8
#on;neutre;8
#videintersideral;negatif;8
#voter;neutre;8
#AlterQG;neutre;8
#Emmanuel;neutre;8
#Fatiha;neutre;8
#Flop;negatif;8
#Frexit;negatif;8
#Gauche;neutre;8
#Incompétence;negatif;8
#JaiMalAMaFrance;negatif;8
#JeVoteBlanc;negatif;8
#JeanLucMélenchon;neutre;8
#La;neutre;8
#LesAnges9;neutre;8
#MONJUV;neutre;8
#MacronGates;negatif;7
#Mitterrand;neutre;7
#Montpellier;neutre;7
#NicolasDupontAignan;neutre;7
#NuitDebout;neutre;7
#OKLM;neutre;7
#PLS;negatif;7
#PauvreFrance;negatif;7
#PenelopeGate;negatif;7
#PoidsDesMots;neutre;7
#Police;neutre;7
#Presidenitelle2017;neutre;7
#RMC;neutre;7
#RendezNousFillon;negatif;7
#StopMacron;negatif;7
#ToutSaufLePen;negatif;7
#TrouNoir;negatif;7
#Twitter;neutre;7
#bourdindirect;neutre;7
#bravo;positif;7
#campagne;neutre;7
#cpromis;neutre;7
#dehorsleFN;negatif;7
#ecoeuré;negatif;7
#ecole;neutre;7
#education;neutre;7
#emanuelmacron;neutre;7
#emploi;neutre;7
#emploiaccompagné;positif;7
#fautifs;negatif;6
#homosexuels;neutre;6
#insupportable;negatif;6
#juif;negatif;6
#medias;neutre;6
#merkel;neutre;6
#numerique;neutre;6
#plusloin;neutre;6
#presidentencartonbonjour;negatif;6